fips,County,ST,stover_removal,corn_yield_Mg_ha,soy_yield_Mg_ha,stover_yield_Mg_ha,dSOC_MgCO2e_ha,N2O_MgCO2e_ha,area_ha,GHG_MgCO2e_ha,corn_prod_Mt_y,soy_prod_Mt_y,stover_prod_Mt_y,dSOC_MtCO2e,N2O_MtCO2e,GHG_MtCO2e
17013,Calhoun,IL,50pct_stover,12.024346612814997,3.287301791945833,6.006449860465119,179.44450774525885,1.2680086278735632,12140.58,-178.17649911738528,0.07299127100030474,0.01995487519463087,0.03646089252348281,2.178560401841935,0.015394360187389223,-2.163166041654545
17013,Calhoun,IL,75pct_stover,12.023262045329448,3.290754504934425,9.009158620155038,173.5516544186754,1.213603643355108,12140.58,-172.3380507753203,0.07298468736114289,0.01997583416375839,0.05468820548034092,2.1070177446022824,0.014733852120444159,-2.0922838924818383
17015,Carroll,IL,no_stover_BAU,15.225868805404993,4.0833686596422245,0.0,262.6716501188996,1.7835764186406802,12504.7974,-260.88807370025893,0.09519820232528473,0.025530848899167784,0.0,3.2846557674605252,0.022303261762519285,-3.262352505698006
17015,Carroll,IL,25pct_stover,15.228745249669947,4.1012864723765565,3.8112336899224815,252.76190112049676,1.7558201896123369,12504.7974,-251.00608093088442,0.09521618700166755,0.025642878208214766,0.023829352568267525,3.1607363639506443,0.021956175741931854,-3.138780188208713
17015,Carroll,IL,50pct_stover,15.231300011856332,4.119576270036787,7.622185348837211,242.843907966444,1.7367974580477619,12504.7974,-241.10711050839623,0.09523216039344051,0.025757233315328854,0.04765694176622882,3.036713868944628,0.02171830033772226,-3.0149955686069054
17015,Carroll,IL,75pct_stover,15.234652747758417,4.137186844483764,11.434795627906986,232.73251462699136,1.7316528409973584,12504.7974,-231.000861785994,0.09525312303503615,0.025867341648107382,0.07149490131869132,2.9102729438030637,0.02165396794380638,-2.8886189758592566
17017,Cass,IL,no_stover_BAU,12.466104760382908,3.9086511185886867,0.0,253.51443814056077,1.5859215361069467,47793.4166,-251.92851660445382,0.29789886909611174,0.09340389562738254,0.0,12.116321156166748,0.07579660867007125,-12.040524547496677
17017,Cass,IL,25pct_stover,12.463780091999988,3.9218920016436973,3.230180930232558,245.75590093763756,1.536751376383237,47793.4166,-244.2191495612543,0.29784331717387086,0.09372030914738254,0.07719069144599008,11.74551415542084,0.07344659874210743,-11.672067556678732
17017,Cass,IL,50pct_stover,12.460066926527164,3.9347802816625164,6.458551472868217,237.903366118492,1.4951170328407222,47793.4166,-236.40824908565128,0.29775458474169714,0.09402829661548098,0.15433812058766716,11.370214687443411,0.07145675121631251,-11.2987579362271
17017,Cass,IL,75pct_stover,12.456931259909213,3.947819226176971,9.683029302325584,229.7717933238928,1.4332622764510599,47793.4166,-228.33853104744176,0.29767965263120194,0.0943398844690828,0.23139252669802696,10.981579041257906,0.06850050107548987,-10.913078540182417
17019,Champaign,IL,no_stover_BAU,15.120743815848128,4.2442386900547335,0.0,228.19280836170867,1.8249998148425786,213471.865,-226.3678085468661,1.6139266912781582,0.4530127743355704,0.0,48.712744380561546,0.3895861140990999,-48.323158266462436
17019,Champaign,IL,25pct_stover,15.121515867328547,4.24944308079617,3.4868666666666672,221.01844417289897,1.751196001856215,213471.865,-219.26724817104275,1.6140090969128587,0.453568269834452,0.37217396516983337,47.181219476987124,0.37383107649678965,-46.80738840049033
17019,Champaign,IL,50pct_stover,15.122870489799308,4.254956318717279,6.974062945736435,213.8005292440263,1.6931854831869775,213471.865,-212.10734376083934,1.6141536838054606,0.45415673042505594,0.7443831118268752,45.640397715709334,0.3614474628868502,-45.27895025282248
17019,Champaign,IL,75pct_stover,15.123466103423794,4.260388360203615,10.461364961240317,206.3711837680804,1.6353970143499674,213471.865,-204.73578675373045,1.61421725718108,0.45473652443847873,1.1166035443608116,44.054441481229844,0.3491112506687193,-43.70533023056113
17021,Christian,IL,no_stover_BAU,13.105264407052337,3.9065294106389294,0.0,211.51089886586414,1.5029456772381666,145282.274,-210.00795318862598,0.9519813072139126,0.2837747381127517,0.0,30.72878436301676,0.2183513656876309,-30.510432997329133
17021,Christian,IL,25pct_stover,13.104037439362944,3.907807352304,3.2887865891472865,205.19231862116314,1.4607242894517027,145282.274,-203.73159433171145,0.9518921788858928,0.28386756924832207,0.23890119718601077,29.810806656615124,0.21221734645857757,-29.598589310156548
17021,Christian,IL,50pct_stover,13.102999281917098,3.909220651433114,6.577483720930233,198.81687003659582,1.3653386205843507,145282.274,-197.45153141601148,0.9518167659486415,0.2839702329039821,0.47779589608736284,28.884566988479104,0.19835949957851767,-28.686207488900585
17021,Christian,IL,75pct_stover,13.10140235628814,3.909943450066364,9.863643565891469,192.2480735742144,1.3098261625276648,145282.274,-190.93824741168675,0.9517007634552497,0.28402273781852344,0.7165062835890906,27.930237300981176,0.19029452343671274,-27.739942777544464
17023,Clark,IL,no_stover_BAU,12.556042308991442,3.5623356636511105,0.0,191.97520754012154,1.258367501720568,73410.0404,-190.716840038401,0.46086978658358546,0.1307556024934944,0.0,14.092907741318706,0.09237680913935396,-14.000530932179354
17023,Clark,IL,25pct_stover,12.548737383231623,3.566240009253563,3.097061410852714,185.62228155334793,1.2357711556685942,73410.0404,-184.38651039767933,0.4606016591360118,0.1308989115777002,0.11367770164598937,13.626539187971446,0.09071801046278619,-13.535821177508659
17023,Clark,IL,50pct_stover,12.539515353290172,3.569198732154819,6.186942186046513,179.220432091997,1.2075236413864494,73410.0404,-178.01290845061055,0.46026316434072584,0.13100751156155702,0.22709183791506937,13.156579160378955,0.08864435929813436,-13.06793480108082
17023,Clark,IL,75pct_stover,12.526170293098879,3.571474217130213,9.266198325581398,172.65144388567293,1.163992159589848,73410.0404,-171.4874517260831,0.45977333363683426,0.13109103328354366,0.34011599671767134,12.674349470765582,0.08544871146077397,-12.588900759304808
17025,Clay,IL,no_stover_BAU,9.454782558354271,2.9193982048401423,0.0,177.6421939279959,1.0311827671235807,57708.2236,-176.61101116087232,0.27280935298344416,0.08423664219117677,0.0,10.251415447991349,0.059507725697634316,-10.191907722293715
17025,Clay,IL,25pct_stover,9.43623730936837,2.920476012329874,2.675542883720931,172.1789026005403,1.01183112424502,57708.2236,-171.1670714762953,0.2722742462958461,0.08426774136898435,0.07720041349257814,9.9361386104746,0.05839097676337099,-9.87774763371123
17025,Clay,IL,50pct_stover,9.413936361430602,2.920551013777401,5.334627224806203,166.64155262632013,1.010559888955522,57708.2236,-165.6309927373646,0.27163077225080373,0.08426990546913647,0.15392593035588192,9.616587980010848,0.05831761603303643,-9.558270363977812
17025,Clay,IL,75pct_stover,9.384909906753498,2.9192727413120396,7.972498108527134,160.95073421672893,0.9676543101235094,57708.2236,-159.9830799066054,0.27079323968239294,0.08423302205251006,0.23003935174873041,9.288180958763164,0.05584161129611122,-9.232339347467052
17027,Clinton,IL,no_stover_BAU,9.488002582194037,2.953794157374766,0.0,178.29212963102563,0.9838833772363814,55077.7646,-177.30824625378924,0.26128898637313763,0.08134418963837135,0.0,9.819931945850314,0.05419009704527841,-9.765741848805035
17027,Clinton,IL,25pct_stover,9.477735529309056,2.9537713622275223,2.4872948527131777,173.6217087554914,0.9829507679410292,55077.7646,-172.63875798755038,0.2610062432121703,0.0813435618854944,0.06849732019426404,9.562695604284714,0.05413873101004524,-9.508556873274669
17027,Clinton,IL,50pct_stover,9.464837016303212,2.9524141788566625,4.965522573643411,168.87508280277788,0.9296477057149993,55077.7646,-167.94543509706287,0.26065103258065736,0.08130618657238477,0.13674494171355897,9.301262057416908,0.05120291749630081,-9.250059139920607
17027,Clinton,IL,75pct_stover,9.44605613039433,2.948798832416497,7.429311441860466,163.97049943832124,0.8940808738380807,55077.7646,-163.07641856448316,0.26013382797412293,0.08120662397229535,0.20459493336743867,9.03112856940829,0.0492439759026161,-8.981884593505672
17029,Coles,IL,no_stover_BAU,14.165951318648066,3.9538643458549756,0.0,210.89733439614002,1.516467124209324,96193.8622,-209.3808672719307,0.6813387845389702,0.19016874102133335,0.0,20.287029123249614,0.145874829577022,-20.141154293672592
17029,Coles,IL,25pct_stover,14.165747599949132,3.957550182829627,3.341510217054264,204.3311877678312,1.4556809826372528,96193.8622,-202.87550678519395,0.6813289862947437,0.19034601846834898,0.16071638667960497,19.65540611930108,0.14002757585096848,-19.51537854345011
17029,Coles,IL,50pct_stover,14.165069346745735,3.9611176985551624,6.682191906976744,197.70973347355184,1.39852674363354,96193.8622,-196.3112067299183,0.6812963643971516,0.19051760502639822,0.32139292374683803,19.018462857353573,0.13452968886009947,-18.88393316849347
17029,Coles,IL,75pct_stover,14.16408006294828,3.9644529022589845,10.021763829457363,190.89812566508056,1.379480419274291,96193.8622,-189.51864524580625,0.681248782882507,0.19067801808914542,0.48201608440588295,18.363227994465042,0.13269754935926936,-18.23053044510577
17031,Cook,IL,no_stover_BAU,13.151693720885227,3.736702030124253,0.0,224.0390672641688,1.5578058639126862,5341.8552,-222.48126140025613,0.03512722174585904,0.009980460585234899,0.0,1.1967842564682498,0.008321573354732475,-1.1884626831135174
17031,Cook,IL,25pct_stover,13.15119489447473,3.745194605819225,3.2873655503875976,217.03363584418045,1.5369859165185262,5341.8552,-215.49664992766193,0.03512588941663164,0.01000314364005369,0.008780315379819425,1.1593622562091417,0.008210356210481254,-1.1511518999986603
17031,Cook,IL,50pct_stover,13.151284200288858,3.7526349960105514,6.575195534883721,209.96153604332497,1.4988141625472977,5341.8552,-208.46272188077768,0.035126127945995435,0.010023016383570471,0.017561871229517693,1.1215841231130228,0.008006448228036927,-1.113577674884986
17031,Cook,IL,75pct_stover,13.149924614371209,3.759511326598607,9.8612809767442,202.71796951224945,1.457174267758978,5341.8552,-201.26079524449048,0.03512249659044341,0.010041382564724834,0.02633876753214104,1.0828900395724512,0.0077840139395344895,-1.0751060256329166
17033,Crawford,IL,no_stover_BAU,11.66760743726921,3.375536694558371,0.0,175.31627322903518,1.1730517927446986,70536.7698,-174.14322143629047,0.41149766995971304,0.11904972738775836,0.0,12.366243606950356,0.0827432842683101,-12.283500322682045
17033,Crawford,IL,25pct_stover,11.654246888949917,3.3760546075212106,2.93791703875969,169.6510213017903,1.1359125704933244,70536.7698,-168.51510873129698,0.41102646499911316,0.11906799334147648,0.10361558892724496,11.966635035899277,0.08012360349781389,-11.886511432401463
17033,Crawford,IL,50pct_stover,11.638925616083762,3.375049861786398,5.866174914728683,163.9474061698196,1.10989804483651,70536.7698,-162.8375081249831,0.4104861084505117,0.11903255758217447,0.20689051478337586,11.564320448307663,0.07828862289010297,-11.48603182541756
17033,Crawford,IL,75pct_stover,11.62061540623343,3.3718721490932824,8.78105976744186,158.08784237638432,1.0332034205968443,70536.7698,-157.05463895578748,0.4098403369219104,0.11892048478781206,0.30969379570804395,11.151005745881704,0.07287883183521218,-11.078126914046491
17035,Cumberland,IL,no_stover_BAU,11.197278910578445,3.3212460968302193,0.0,188.32008428483087,1.1764255623830941,55846.668,-187.14365872244778,0.31266535891123803,0.09274026405798655,0.0,10.517049224786966,0.06569944780912194,-10.451349776977844
17035,Cumberland,IL,25pct_stover,11.187335351249015,3.3233498663824435,2.9660489302325583,182.5148407316535,1.1518835046762332,55846.668,-181.36295722697727,0.31238770158293355,0.09279900831785233,0.08282197493922641,10.19284571541353,0.06432885566033004,-10.1285168597532
17035,Cumberland,IL,50pct_stover,11.174062514644119,3.3247018170941725,5.922521674418605,176.63900149605047,1.1124419032269577,55846.668,-175.5265595928235,0.31201707973328763,0.09283675928912748,0.16537655083702996,9.864699672401434,0.06212617363880403,-9.802573498762628
17035,Cumberland,IL,75pct_stover,11.153839403238672,3.3247938998657562,8.863445209302323,170.5873648032545,1.0559080159420284,55846.668,-169.53145678731246,0.3114523830389941,0.09283933054711406,0.24749694097004868,9.526735927162239,0.05896894440485316,-9.467766982757386
